feature_names,Dose_2016.tif,MvrtpLL.tif,Potassium_2016.tif,Rad2016K_UTH.tif,Rad2016Th_K.tif,Rad2016Th_UK.tif,Rad2016U_THK.tif,Rad2016U_Th.tif,TM3_1_ratio.tif,TM5_4_ratio.tif,TM_resample_1plus7_corrected.tif,TM_resample_clayPC2.tif,Thorium_2016.tif,Uranium_2016.tif,dem_foc2.tif,gg_clip.tif,relief_elev_focalrange1000m_3s.tif,relief_elev_focalrange300m_3s.tif,si_geol1.tif
count-1,56703398
mean-1,74.4124086952,-0.0152592513467,0.447432058319,0.62300556867,1.23398598931,1.29744600577,0.920315806807,0.920309355848,27328.4101523,13586.8060733,72.941260428,131.263101171,23.1578397811,1.90400669279,355.676261641,4.58616786332e-05,24.5723785702,9.86634456656,61.558786624
sd-1,18.3616235827,0.706346448334,0.412385006727,0.126376719262,0.0930887516566,0.19724537173,0.0562343462676,0.0562651701425,3846.48953106,1702.54707738,21.8260706327,24.486492473,5.5340302075,0.712234901483,87.3527865842,0.0127975187758,20.885382808,10.2854659408,17.9881841009
count-2,15659486
mean-2,109.863812054,-0.00783117222233,2.27730680726,0.724240084745,0.961646470428,0.614435997885,1.17910034037,1.18375076049,22596.971335,12290.0611816,73.4941501486,124.218011681,21.7663107012,4.54555418851,360.274786242,-0.00361794046397,96.0358835178,43.0480417309,67.2147406371
sd-2,38.0243024664,0.498113212625,1.05581751406,0.17824194106,0.118158880288,0.0992734204898,0.082876165329,0.0920703460766,4226.86567818,2371.12996651,24.7254077909,30.8909915179,9.64856439168,1.79914901029,172.113541275,0.0130995442852,82.9172413831,43.098148278,9.87428652659
count-3,80673667
mean-3,48.1457793402,-0.00654065132384,1.58057752916,1.39905870399,0.888937801226,0.866210865205,0.972913716253,0.9729137081,30072.224397,13720.3055749,90.8484273438,107.395872646,9.05447303786,0.862222773392,400.736510157,-0.000356421906784,36.5678637473,14.9049353097,70.1817043844
sd-3,13.1420352713,0.448494206417,0.548440651116,0.219169886481,0.0540828321173,0.120765478104,0.0412613160737,0.0412613656518,6718.62804369,1678.43200905,23.9107045313,20.0695953002,2.97417738546,0.360514674264,148.105096695,0.014013459972,43.114495726,20.1669091491,9.97231723419
count-4,44198412
mean-4,33.0251547293,0.189636163763,0.695352664791,1.16669830785,0.983126574308,1.07352682191,0.988882046587,0.988882046583,27096.2807984,13728.5206244,95.6881661797,118.050656487,7.6693013534,0.846525981666,213.986064779,0.000562344281483,18.9153079752,8.29586332976,18.9164852349
sd-4,10.2249953187,2.33845726041,0.336246650236,0.172548417052,0.0476571849172,0.139931711391,0.0357613999253,0.0357613999253,4633.12990994,1575.77669911,20.8161484508,19.3749658955,2.55963919896,0.360980388162,98.9801036534,0.0128927501758,22.1181228454,11.5077182924,7.59191177252
count-5,171932218
mean-5,18.1890434847,-0.0120635181068,0.287623712199,1.28927970105,1.00466122744,1.31246012952,0.968545715539,0.968545715534,29659.4733099,13369.4881041,94.9583140899,106.879711938,4.95313471813,0.365517369091,277.310031567,-0.00106141169151,26.6391719279,11.6523099581,76.86924193
sd-5,7.13027093481,0.524158682811,0.215300040876,0.147482396797,0.0312874691715,0.135212216296,0.0312449207127,0.0312449207127,6459.07132851,1720.10237031,25.6713502514,24.1661610645,2.00458177938,0.200605189048,127.438998857,0.0119028901434,33.1472898694,16.3110826379,9.70443702178
count-6,59340393
mean-6,87.7121069215,-0.00769016098059,2.2343609004,0.99960930798,0.92302875315,0.755391963179,1.00303819717,1.00303781466,25937.6598411,13647.2739069,87.3788961818,119.238857436,18.4318207135,2.20655388948,339.526931904,-0.00247026188329,48.8633659357,20.5714316301,67.8776994955
sd-6,20.8756318629,0.417894556801,0.687830816536,0.163520268896,0.0722003142344,0.09679279281,0.0510000736289,0.0510025999548,4797.25013804,1892.81991264,23.2174280458,22.4645333631,5.37815100514,0.572262847092,165.909013094,0.012543510309,50.5812448919,24.970630977,7.58607637833
count-7,9504869
mean-7,43.744923529,-0.000244250948164,1.16393460047,1.12946605097,0.928547927774,0.849258116382,1.05266969948,1.05266970208,14300.2865332,5663.75818278,30.4259696794,170.834536286,8.13131891637,1.45019013024,187.373758429,0.00640845856155,209.246111904,103.302229546,65.8214287155
sd-7,14.8942257873,0.334838547717,0.525853470047,0.150491704224,0.0499809041006,0.126315292784,0.0418364856665,0.041836503904,3091.78454431,2422.77507586,24.9528584186,54.6949093968,3.04888286981,0.482319261001,99.4559134092,0.0145835418139,88.1595341461,48.762748276,9.73758091982
count-8,172840175
mean-8,37.3802381508,-0.0186969425223,0.436526704843,0.929418604537,1.05408583164,1.1502887378,0.988609947648,0.988609947643,26817.3422173,13613.7249496,81.701900352,116.735588359,10.1391960161,1.12483676554,332.136778758,-0.00113582982262,26.1126877955,10.615797965,71.7663502617
sd-8,10.520650934,0.591138387819,0.279936112013,0.108150272268,0.0427521637387,0.114165785766,0.0325507343275,0.0325507343275,6083.59017871,1790.15043619,21.0176428016,24.4050665711,2.87392412809,0.30569324672,126.975280853,0.0120693777352,27.537537337,13.5764843537,8.03811395446
count-9,9696050
mean-9,165.802735988,0.00974048193671,0.756775258105,0.37791143491,1.56183706836,1.38954393631,0.843096991776,0.841747741319,24932.8046681,13249.7818881,74.2202182332,135.80035918,53.4680487018,3.97468140707,339.523909831,0.000934218335567,42.188666417,18.1970295189,60.1581368358
sd-9,56.6702405537,0.46150629499,0.889458288104,0.0999230810186,0.186494610838,0.287655860575,0.0870842529225,0.0895893293574,3496.4585224,2284.75676949,26.6083495849,28.1841700079,18.3352423881,1.80626395037,76.107853365,0.012502976279,30.7271328058,15.8201014352,18.0220625079
count-10,216546132
mean-10,30.8810443804,-0.00322576225663,0.717874254009,1.17317740247,0.962748337749,0.997220501897,1.016609893,1.01660989299,26054.1947306,13617.4174246,108.723400241,110.081656226,6.47190156152,0.942842335018,139.252522836,0.000878476019432,19.280805067,8.26986984265,72.0250819273
sd-10,10.1928873563,0.268293585627,0.319183237774,0.114981731923,0.0306684209745,0.0941474291322,0.0269020392511,0.0269020392512,7227.61506973,1949.99123554,30.4842129941,21.9523975607,2.31275505727,0.258508550779,86.6027800378,0.0111172728173,23.9930513384,11.4461652479,9.13324644288
count-11,130398204
mean-11,43.8397361129,-0.00379098956734,0.66101444798,0.86542115696,1.01892455707,0.917671451035,1.07003279197,1.07003290208,22771.3746222,12862.1192714,83.2614184037,118.506476769,9.96066762198,1.82420603497,200.833725566,0.000439969737648,29.8225217484,12.2565185384,67.6389893555
sd-11,12.698931123,0.38219628181,0.378148777429,0.119811493584,0.0576759152992,0.0991957430103,0.0374925058246,0.0374933218472,5190.73930732,2293.0503318,25.7775814286,28.2566864404,3.30746694051,0.429362815316,117.412309272,0.01172561762,33.3311030615,15.7984265397,11.4533953812
count-12,34144226
mean-12,44.2022830404,0.000605186385252,1.12764068821,1.12285581951,0.938117038062,0.87710174578,1.04408947595,1.04408957358,17774.7765509,7774.16333579,34.1195801988,115.964660889,8.55193186794,1.43187257726,673.85854903,-0.00657750995221,276.813598138,126.670712267,68.7584533912
sd-12,16.0061881191,0.742521761257,0.578533225661,0.164805330511,0.0544008970235,0.149675585336,0.0466192009845,0.0466198476584,3557.67596745,2736.50232851,18.2300682611,49.8614363409,3.08257442716,0.54735735933,224.695721454,0.0141436032137,133.936064048,71.099250923,9.02314561936
